Name,State,latitude,Longitude,Elivation,Est. Population
Panari,,26.55,91.84,160,42351
Pangkibot,,24.88,93.47,4271,5774
Paren,,27.06,88.87,1902,14683
Pariali,,20.38,72.84,49,18241
Parigas,,32.70,79.45,14268,0
Partapur,,19.99,80.73,1003,12069
Partābpur,,19.99,80.73,1003,12069
Pasewada,,19.27,80.46,830,2998
Paten,,27.06,88.87,1902,14683
Pathachara,,23.45,91.93,406,11146
Pathakata,,26.51,90.10,141,33589
Pathakhuri,,24.38,92.40,150,40071
Pemayangtse,,27.30,88.25,5331,17108
Pemionchi,,27.30,88.25,5331,17108
Pemir,,27.75,93.96,2919,1049
Perabharigaon,,27.19,94.40,298,8939
Perhen,,26.52,93.65,1223,2991
Phaibak,,24.56,93.15,1148,6247
Phaiyeng,,24.85,93.82,2604,32018
Phalai,,21.87,74.45,3395,15
Phangchagaon,,26.43,93.82,347,24112
Phatika,,26.74,93.20,229,35635
Phayeng,,24.85,93.82,2604,32018
Phensāng,,27.42,88.61,4189,12565
Phoipi,,24.52,93.60,2509,3576
Photspi,,25.26,91.52,3349,8750
Phuitomi,,25.47,93.76,3349,6840
Phusaria,,25.00,75.29,1233,13058
Pinchi,,27.77,93.32,6709,1409
Piparav,,20.97,71.56,29,19210
Pipavav Bandar,,20.97,71.56,29,19210
Piproda,,25.07,77.45,1669,14469
Podame,,20.70,70.95,0,8482
Podamo,,20.70,70.95,0,8482
Pongu,,26.49,94.87,2775,18691
Potin,,27.34,93.83,3349,570
Potrem,,15.20,74.26,249,6030
Prial,,20.38,72.84,49,18241
Pul Kanjri,,31.64,74.56,830,302804
Punkhung,,26.77,94.96,3664,9908
Purura Khulen,,24.40,93.98,3349,16598
Pānigāon,,26.38,92.79,190,50364
Rabanpalli,,17.06,77.48,1791,23389
Raddar,,27.23,93.54,2732,7917
Raga,,27.08,93.25,2831,666
Raghūnāthpur,,26.05,76.96,830,9353
Rajabari,,26.94,94.85,830,41008
Rajapukhuri,,26.10,91.48,177,63292
Rangmaw,,25.37,91.52,5029,8126
Ranian,,31.70,74.51,830,101867
Ratan Khurd,,31.62,74.57,830,271910
Ratangarh,,24.82,75.12,1243,13366
Ratanpur,,21.65,72.25,88,32265
Razephema,,25.72,93.80,1669,15947
Rhādākishorpur,,24.24,92.29,193,27866
Riangchi,,27.89,93.43,2732,1564
Rimrāngpāra,,25.33,90.28,121,8344
Ringui,,25.05,94.25,4311,8195
Rishetsu,,25.96,94.75,5869,11065
Romgiri,,25.73,90.14,830,27559
Rongrā Āsimgiri,,25.39,90.43,1669,8347
Roranwala Khurd,,31.60,74.59,830,228399
Rushyabari,,23.45,91.93,406,11146
Rājnagar,,24.30,92.19,111,40257
Sahryngkham,,25.55,91.96,5029,118184
Saichang,,24.45,93.41,1069,3317
Sajrang,,25.79,91.75,2509,7898
Sakmuthigoan,,26.57,92.98,200,40716
Sakyang,,27.57,88.40,6709,2066
Sakyong,,27.57,88.40,6709,2066
Salem,,15.70,73.92,22,19308
Samdong,,27.35,88.50,4511,27653
Sandrābāj,,24.46,91.92,26,88029
Sangpurr,,26.13,94.85,6856,4701
Sar,,34.01,74.03,9228,9983
Satapati Port,,19.72,72.70,0,38205
Satpara,,19.65,85.43,3,12423
Satpate,,19.72,72.70,0,38205
Satpati,,19.72,72.70,0,38205
Saunk,,27.40,77.48,830,40554
Sawan Pathri,,34.03,74.05,7627,9983
Sebba,,27.23,93.03,2818,3319
Sejawada,,22.63,74.32,1669,42501
Sejāwara,,22.63,74.32,1669,42501
Sekhe,,27.35,93.74,3375,378
Semri,,24.55,70.33,223,6109
Sengmai,,24.95,93.88,2627,6231
Sentam,,27.52,88.56,4189,12136
Sethawn,,24.12,92.70,1669,4321
Shampur,,26.08,77.04,830,7910
Shamtorr,,26.06,94.88,4251,5304
